City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Hilo,US,77.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Padang,ID,75.58,overcast clouds,-0.9492,100.3543,Mercure Padang
12,Necochea,AR,82.04,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
15,Nuevitas,CU,78.24,broken clouds,21.5453,-77.2644,Hotel Caonaba
17,Kapaa,US,79.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
34,Atuona,PF,78.57,light rain,-9.8,-139.0333,Villa Enata
35,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
37,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,People ThankYou
38,Namatanai,PG,82.47,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
43,Dhidhdhoo,MV,80.91,overcast clouds,6.8833,73.1,Dhidhoo beach
45,San Patricio,US,75.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Mahina,PF,83.97,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
50,Inhambane,MZ,76.03,clear sky,-23.865,35.3833,Oceano
58,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
61,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
63,San-Pedro,CI,78.75,scattered clouds,4.7485,-6.6363,Hotel Maria
64,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
67,Kokoda,PG,80.02,overcast clouds,-8.8785,147.7407,Daito Guest House
69,Karaton,ID,77.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
71,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
73,Lampa,CL,84.07,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
81,Cairns,AU,78.06,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
82,Hithadhoo,MV,81.86,broken clouds,-0.6,73.0833,Scoop Guest House
86,George Town,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
96,Kavieng,PG,82.13,light rain,-2.5744,150.7967,Nusa Island Retreat
98,Antalaha,MG,75.16,broken clouds,-14.9003,50.2788,Hotel Vitasoa
101,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
102,Pacific Grove,US,80.71,clear sky,36.6177,-121.9166,Lovers Point Inn
104,Butaritari,KI,81.86,light rain,3.0707,172.7902,Isles Sunset Lodge
107,Villa Bruzual,VE,88.12,overcast clouds,9.3328,-69.1208,hotel italia
110,Karratha,AU,82.33,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
113,Manuk Mangkaw,PH,80.13,overcast clouds,4.8,119.85,
115,Viedma,AR,77.23,overcast clouds,-40.8135,-62.9967,Hotel Cristal
116,Lorengau,PG,82.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
118,Moron,AR,82.0,clear sky,-34.6534,-58.6198,Hotel Morón
119,Eydhafushi,MV,80.8,scattered clouds,5.1033,73.0708,Soneva Fushi
122,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
125,Poum,NC,81.18,overcast clouds,-20.2333,164.0167,
126,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
127,Buala,SB,82.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
128,Juruti,BR,78.01,moderate rain,-2.1522,-56.0922,Pousada Marupiara
130,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
142,Sao Filipe,CV,76.8,broken clouds,14.8961,-24.4956,Hotel Xaguate
146,Siguiri,GN,78.93,clear sky,11.6667,-9.5,
152,Armeria,MX,88.9,clear sky,18.9333,-103.9667,Hotel la Herradura
156,Porto Velho,BR,82.45,broken clouds,-8.7619,-63.9039,Hotel Central
180,Atakpame,TG,78.19,clear sky,7.5333,1.1333,Hôtel sahélien
183,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
188,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
190,Byron Bay,AU,76.05,clear sky,-28.65,153.6167,Backpackers Inn
194,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
201,Paso De Los Toros,UY,80.94,clear sky,-32.8167,-56.5167,Complejo Isabelino
204,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
209,Pedasi,PA,87.06,scattered clouds,7.5333,-80.0333,Selina Pedasi
210,Bengkulu,ID,76.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
214,Kavaratti,IN,79.16,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
215,Conceicao Do Araguaia,BR,76.33,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
216,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
223,Yola,NG,76.91,scattered clouds,9.2,12.4833,Muna Hotel
224,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
225,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
234,Paita,PE,82.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
241,Bela Vista,BR,84.56,broken clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
261,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
263,Apache Junction,US,78.33,clear sky,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
265,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
