City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longjiang,CN,47.3303,123.1836,3.33,97,100,5.7,overcast clouds
1,Vaini,TO,-21.2,-175.2,82.56,83,40,10.36,scattered clouds
2,Muros,ES,42.7762,-9.0603,54.23,91,18,5.97,few clouds
3,Eilenburg,DE,51.4598,12.6334,49.24,68,100,9.01,overcast clouds
4,Cidreira,BR,-30.1811,-50.2056,72.39,69,29,11.88,scattered clouds
5,Lima,PE,-12.0432,-77.0282,73.38,79,0,8.05,clear sky
6,Hilo,US,19.7297,-155.09,77.25,71,100,5.99,overcast clouds
7,Yellowknife,CA,62.456,-114.3525,-6.59,79,100,10.0,light snow
8,Hirara,JP,24.8,125.2833,59.27,88,20,2.3,few clouds
9,Padang,ID,-0.9492,100.3543,75.58,62,100,6.46,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,51.91,50,75,34.52,broken clouds
11,Ureki,GE,41.9956,41.7786,46.36,95,100,14.79,light rain
12,Necochea,AR,-38.5473,-58.7368,82.04,45,44,10.71,scattered clouds
13,Barrow,US,71.2906,-156.7887,-23.78,69,0,16.11,clear sky
14,Biltine,TD,14.5333,20.9167,66.9,11,0,10.6,clear sky
15,Nuevitas,CU,21.5453,-77.2644,78.24,75,77,5.88,broken clouds
16,Ossora,RU,59.2353,163.0719,-11.43,100,71,2.51,broken clouds
17,Kapaa,US,22.0752,-159.319,79.48,69,0,6.91,clear sky
18,Port Alfred,ZA,-33.5906,26.891,66.47,84,3,7.85,clear sky
19,Ponta Do Sol,PT,32.6667,-17.1,68.63,53,100,5.44,overcast clouds
20,Nivala,FI,63.9167,24.9667,27.68,91,100,7.49,overcast clouds
21,Selishche,RU,56.8879,33.2691,29.86,91,100,10.16,light snow
22,Kulykiv,UA,50.3142,24.8176,42.67,94,100,14.88,overcast clouds
23,Coquimbo,CL,-29.9533,-71.3436,65.93,77,75,9.22,broken clouds
24,Rapid Valley,US,44.0625,-103.1463,41.04,90,100,13.8,snow
25,Bredasdorp,ZA,-34.5322,20.0403,65.52,88,77,5.75,light rain
26,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,93.25,21,9,4.7,clear sky
